Epoch	[current/size]	CE        	Accuracy(%) 	AVG_CE    	Batch
1    	[ 2816/60000]	0.312945  	84.375      0.717244  	88   
1    	[ 2848/60000]	0.265700  	90.625      0.712171  	89   
1    	[ 2880/60000]	0.138451  	96.875      0.705796  	90   
1    	[ 2912/60000]	0.139968  	96.875      0.699578  	91   
1    	[ 2944/60000]	0.241960  	90.625      0.694604  	92   
1    	[ 2976/60000]	0.141577  	96.875      0.688657  	93   
1    	[ 3008/60000]	0.143040  	96.875      0.682853  	94   
1    	[ 3040/60000]	0.162565  	96.875      0.677376  	95   
1    	[ 3072/60000]	0.160343  	96.875      0.671990  	96   
1    	[ 3104/60000]	0.311236  	87.500      0.668271  	97   
1    	[ 3136/60000]	0.167029  	100.000     0.663157  	98   
1    	[ 3168/60000]	0.309683  	90.625      0.659586  	99   
1    	[ 3200/60000]	0.147146  	96.875      0.654462  	100  
1    	[ 3232/60000]	0.257109  	93.750      0.650528  	101  
1    	[ 3264/60000]	0.219217  	93.750      0.646299  	102  
1    	[ 3296/60000]	0.104333  	96.875      0.641037  	103  
1    	[ 3328/60000]	0.289028  	96.875      0.637653  	104  
1    	[ 3360/60000]	0.384777  	84.375      0.635244  	105  
1    	[ 3392/60000]	0.287450  	84.375      0.631963  	106  
1    	[ 3424/60000]	0.122632  	93.750      0.627203  	107  
1    	[ 3456/60000]	0.527828  	90.625      0.626283  	108  
1    	[ 3488/60000]	0.179226  	93.750      0.622181  	109  
1    	[ 3520/60000]	0.216971  	93.750      0.618498  	110  
1    	[ 3552/60000]	0.116039  	100.000     0.613971  	111  
1    	[ 3584/60000]	0.239447  	93.750      0.610627  	112  
